"Estou procurando bermuda masculina Com bolsos laterais 100 por cento poliéster.","normal"
"Obrigado. GOsto de bermuda com bolsos laterais . Quem fabricou este modelo?","normal"
"Boa noite! Comprei na loja um tênis para minha filha, porém está manchando a meia. O que fazer para não estragar todas as meias???","alta"
"Boa tarde ! Comprei um tênis tamanho 38 na loja. Entretanto, o pé direito está maior do que o pé esquerdo e só notei ao usá-lo. Essa diferença está notável externamente. Aguardo uma solução","alta"
"Boa tarde ,efetuei uma compra e digitei o meu email errado e nao consigo acompanhar a entrega e a compra o que faço","normal"
"Boa tarde segue o numero do pedido 12345","normal"
"efetuei a compra de um produto e até agora nao foi entregue a mercadoria, no site de vcs nao consta o pedido como pendente, já veio debitada a compra na fatura do meu cartão, ja tentei de várias formas e não consigo soluçao, gostaria de resolver da melhor maneira possivel direto com a loja antes de tomar as providências cabíveis","alta"
"Bom dia, O prazo de entrega do produto foi ontem e até o momento não recebemos o pedido, confirmado o pagamento. Por gentileza, verificar o ocorrido uma vez que já trocamos o produto","alta"
"Muito obrigado pela gentileza e atenção.Vocês sao simpaticos, gentis e agradaveis de se lidar e de respeito ao consumidor.Não tenho mais palavras para agradecer tamanha gentileza e simpatia.Fiquei muito satisfeito.Recomendarei a todos.","normal"
"Ficou otimo. Sensacional, gostei.Mais uma vez, elogios para vocês. Obrigado pela atenção, boas vendas.","normal"
"Parabens pelo produto de voces, pelo bom atendimento e rapidez na entrega. Voces sao otimos.","normal"
"Olá eu queria saber se tem data pra ter ou se já está disponivel o produto ABC em alguma loja física","normal"
"A 1º parcela de 72,00 refere-se a 3 meses de plano, mas o que significa que a assinatura será renovada automaticamente com o valor de 29,00 ? Este procedimento é depois dos 3 meses, ou terei que pagar","alta"
"Gostaria da confirmaço da data para entrega. Tres dias contando a partir de quando? Do dia 19? Preciso destas informaçÃµes também para o preenchimento da minha pesquisa de satisfaço no e-bit. Obrigada","alta"
"Mas já faz mais de 3 dias q o pagto já foi confirmado","alta"
"fiz assinatura ontem , até agora não consigo acessar o programa , esta é a terceira tentativa de contato , alguém pode resolver meu caso ?","alta"
"Mas já recebi a confirmacao de pagamento por email","alta"
"Comprei no dia 15/6/17 pedido 4800 um celular. Ontem chegou em minha casa um tablet. A NF está em nome de outra pessoa, com outro número de pedido 4878. Quero saber oq faço","alta"
"Mas o que devo fazer com o outro produto que recbi errado?","alta"
"A opção de cancelamento da continuidade da assinatura não esta funcionando. Ja tentei varias vezes e em dias diferentes e nunca da certo. Não quero continuar com a assinatura.","alta"
"Não. Por favor, quero cancelar. Como posso fazer?","alta"
"meu pedido ainda nao chegou, quero saber o que aconteceu e o que devo fazer?","alta"
"O número do pedido é 829034","normal"
"cadastrei meu email errado gostaria de corrigir , peço se possivel corrigir meu email e mandar uma nova senha","normal"
"o sistema não tá deixando eu mudar a senha. Aparece 'senha incorreta'","normal"
"como posso rastrear meu pedido simultaneamente, qual a data que ele devera chegar. Por que ele ainda não foi enviado.","alta"
"Bom dia, mudei meu endereço de entrega do pedido, e ainda assim o entregador esta aindo no endereço antigo, segue o novo endereço como ja esta no cadastro de vcs.","alta"
"Já confirmei o endereço duas vezes e continua dando problema..","alta"
"comprei um produto, so que a fonte de alimentaçao não fuciona","alta"
"quero sabero o nº de rastreio do produto, caso já tenha sido despachado.","normal"
"Gostaria de saber se o notebook A ainda está disponível em estoque e se o preço permanece o mesmo. Também preciso saber qual forma de pagamento.","normal"
"Voces pode manda um cupom de descontos para mim para eu fazer uma nova compra?","normal"
"Bom Dia Efetuei uma compra , o prazo de entrega foram de 8 dias uteis , gostaria de saber se pode ocorrer da entrega ser efetuada antes e como esta o andamento da entrega do mesmo","normal"
"Gostaria de saber como esta o andamento do pedido, pois este foi reenviado conforme Email que recebi de vocês. Obrigado.","normal"
"OK. Mas quanto tempo vai demorar?","normal"
